"decimalLatitude","decimalLongitude","scientificName","countryCode","basisOfRecord"
-14.284419,135.724686,"Amitermes laurensis (Mjöberg, 1920)","AU","HUMAN_OBSERVATION"
-35,144,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-24.433,145.466,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.25983,146.81693,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-18.335278,125.683052,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-17.64889,123.218056,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-17.64889,123.218056,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.66667,142.65,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.66667,134.3833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-18.98333,146.0167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.75,143.1167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.73333,135.8333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.2,134.3167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.46667,136.55,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.81667,144.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.16667,133.5833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.65,142.45,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13,134.95,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.75,135.55,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.2,134.4667,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.4,142.8833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.6,144.45,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.15,142.8,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-16.683333,145.333333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.86667,135.55,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-14.51667,131.2,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-20.6,139.55,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.43333,136.7,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.28333,133.3333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.76667,136.15,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.48333,144.05,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.56667,144.45,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-18.983333,146.016667,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.66667,143.3833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.76667,142.4833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.1,136.4167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.73333,131.4167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-18.98333,146.0167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.71667,134.35,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.7,143.1,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.95,143.2167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.36667,134.3667,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.75,142.5833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.45,144.05,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.96667,134.2167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.7,143.1,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.76667,142.4833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.91667,136.4333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.66667,141.95,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.41667,134.6667,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.11667,142.6333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.15,142.8,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.2,134,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.25,142.85,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.28333,145.1667,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.95,143.2,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-17.41667,145.4,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.7,143.1,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.25,134.3833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.96667,143.0167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.95,134.15,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.56667,134.3,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.28333,145.2167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-10.71667,142.5333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.3,145.2167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.21667,133.45,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-17.66667,145.2833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.65,142.45,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.28333,133.2167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.96667,143.0167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.8,136.4833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.23333,145.1167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.1,142.6167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-13.18333,142.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.66667,143.4,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-17,145.433334,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-10.71667,142.5333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.1,145.1,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.4,144.133333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.15,142.8,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.28333,133.3333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.66667,142.1167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-17,145.4333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-18.15,144.3167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.28333,145.1667,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.31667,133.0833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-11.65,142.45,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.73333,142.5,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.66667,146.85,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-18.98333,145.1167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-16.53333,145.1333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.96667,143.0167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-18.36667,143.5167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.25,133.15,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.483333,144.05,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-14.53333,143.4333,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.25,133.0833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.483333,144.05,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-12.28333,133.2167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-15.666667,145.216667,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-18.3,143.45,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-17.85,140.85,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-14.78333,143.5,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-18.51667,144.0833,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
-19.26667,146.8167,"Amitermes laurensis (Mjöberg, 1920)","AU","PRESERVED_SPECIMEN"
