"decimalLatitude","decimalLongitude","scientificName","countryCode","basisOfRecord"
-36.11667,144.76669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.87,151.10331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.86167,151.19169,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88333,151.1167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.69667,151.12167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.94667,151.03169,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.84,151.225,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-34.144008,146.213993,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.91667,151.1167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-19.1,146.4,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88333,151.15,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.89333,150.97,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.83167,151.20831,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.71667,151.0333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88334,151.21671,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.73333,151.06669,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88833,151.23669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-26.66667,150.1833,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.89,151.21331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88333,151.21669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-34.75,146.55,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.65,151.2833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.86,151.2083,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.91,151.2,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.77333,151.185,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.87333,151.13,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.86333,151.24,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.86,151.20331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.97167,151.005,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.82,151.05169,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.9,151.2,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.58333,150.75,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.7,150.56667,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.875,151.02669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-32.53333,151.55,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.81667,151.21672,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88333,151.21669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.91667,151.25,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-17,145.4333,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.885,151.27,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.79333,151.07,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.75,150.61667,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.65,151.15,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.71667,151.1167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.83333,151.25,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88333,151.25,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88,151.13331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-34.48333,142.4,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.87833,151.22,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.86,151.1033,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.79833,151.065,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.78167,150.97669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-32.46667,148.9,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.87833,151.1583,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.82333,151.23331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.87667,151.20169,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.86,151.20331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88333,151.1,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.73333,151.0667,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.83389,151.20027,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.83333,151.1333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.76,150.85,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.75,151.08331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.91667,151.1167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.860517,151.203447,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.87667,151.16669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.84167,151.2517,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.93167,151.02831,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88333,151.0833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.50139,151,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.868804,151.217414,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.89167,151.24831,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.85,151.1,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.92167,151.13,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.84167,151.10333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.8,151,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.71667,150.6,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88667,151.14669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88333,151.15,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.86333,151.24,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.63,151.3367,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.86667,151.1333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.8,151.1833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.83333,151.1,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88333,151.15,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.915,151.115,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.03333,147.2,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-31.6,152.7333,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.48333,151.3167,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.66667,151.1167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88333,151.0667,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.915,151.245,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.73333,151.2167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-34.85,148.9167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88472,151.11694,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.8,151.1833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.71667,151.0333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.92,151.90333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.83333,151.25,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.82833,151.195,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.94333,151.24,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.84667,151.09,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.72667,151.13331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.80333,151.18331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.85222,151.03361,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.84,151.10331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-34.02667,151.01331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-34.6,146.4167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-17,145.6833,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.81667,151.03328,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.935,151.195,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.76667,151.0833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.65,150.8833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.85,151.1,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-31.6,152.7333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.83,151.20669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-31.5,146.2,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.75,151.13331,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88333,151.1167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.9,151.1667,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.78333,151.21669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.81667,151.08669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-35.81667,144.9,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.61167,151.30167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-28.36667,153.5833,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.36666,151.45,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-35.81667,144.9,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-27.545278,152.931389,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88334,151.1833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.81667,144.9,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.88333,151.1167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.91667,151.1167,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88333,151.15,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.88334,151.21671,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.81667,151.21672,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.965,151.03833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-32.6,151.7833,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-34.81667,146.48331,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.86667,151.15,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-10.58333,142.21672,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-35.9,145.71669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.61833,151.07,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.77667,151.08669,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.21667,151.3333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-29.66667,153.3167,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.81667,151.3,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-32.36667,152.3667,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.82167,151.235,"Coptotermes acinaciformis acinaciformis","AU","PRESERVED_SPECIMEN"
-33.8,151.21672,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-32.33333,148.75,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.93333,151.2,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.81917,151.21722,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
-33.66667,150.93333,"Coptotermes acinaciformis (Froggatt, 1898)","AU","PRESERVED_SPECIMEN"
